model,subject_accuracy,video_accuracy,loo_accuracy,chance_level_subject,chance_level_video,separation_ratio,cohen_d,n_features,p_value_subject,p_value_video,p_value_distance,same_subj_same_vid,same_subj_diff_vid,diff_subj_same_vid,diff_subj_diff_vid
DDM - Concatenation,0.644927536231884,0.007246376811594203,0.644927536231884,0.043478260869565216,0.05555555555555555,1.3176656684595938,0.07017585163186141,20,1.472176905692192e-251,0.9999999830265275,1.7305556602433584e-06,0,267,3,144
DDM - Reactivity,0.3164251207729469,0.03864734299516908,0.3164251207729469,0.043478260869565216,0.05555555555555555,1.0270575687965717,0.004003621504340289,20,1.0948974429377691e-73,0.9526518456036056,0.8015496683062601,0,131,16,267
